real_frame,nearest_train_frame,cosine_distance
1780645962.4437387,20260605_014424_166558,0.37100619077682495
1780645963.5274928,20260605_014424_166558,0.3614521622657776
1780645964.6588013,20260605_014424_166558,0.3679544925689697
1780645965.7571766,20260605_014424_166558,0.37281686067581177
1780645966.8158493,20260605_014424_166558,0.37101036310195923
1780645967.966198,20260605_014424_166558,0.36889976263046265
1780645969.0395927,20260605_014424_166558,0.3743442893028259
1780645970.152687,20260605_014424_166558,0.3705700635910034
1780645971.2851536,20260605_014424_166558,0.371479868888855
1780645972.38968,20260605_014424_166558,0.370702862739563
1780645973.3944485,20260605_014424_166558,0.3711546063423157
1780645974.474447,20260605_014424_166558,0.3732439875602722
1780645975.553777,20260605_014424_166558,0.37127232551574707
1780645976.650358,20260605_014424_166558,0.3720553517341614
1780645977.6683898,20260605_014424_166558,0.36938387155532837
1780645978.5271592,20260605_014424_166558,0.36997097730636597
1780645979.5515518,20260605_014424_166558,0.37003111839294434
1780645980.5559769,20260605_014424_166558,0.37040311098098755
1780645981.5943804,20260605_014424_166558,0.37275201082229614
1780645982.5706887,20260605_014424_166558,0.36990851163864136
1780645983.6097217,20260605_014424_166558,0.37192845344543457
1780645984.6902895,20260605_014424_166558,0.3691912293434143
1780645985.762061,20260605_014424_166558,0.37070196866989136
1780645986.8006485,20260605_014424_166558,0.37119603157043457
1780645987.924795,20260605_014424_166558,0.37139540910720825
1780645988.995412,20260605_014424_166558,0.3724978566169739
1780645990.1299121,20260605_014424_166558,0.37035393714904785
1780645991.150825,20260605_014424_166558,0.3733152151107788
1780645992.2565455,20260605_014424_166558,0.3717191219329834
1780645993.2871644,20260605_014424_166558,0.37145423889160156
1780645994.3386755,20260605_014424_166558,0.3754791021347046
1780645995.3619964,20260605_014424_166558,0.37275218963623047
